Anger
Animate Dead
Arcane Signet
Archon of Cruelty
Balefire Dragon
Blackcleave Cliffs
Blade of Selves
Blasphemous Act
Blood Crypt
Bloodstained Mire
Buried Alive
City of Brass
Come Back Wrong
Command Beacon
Command Tower
Consecrated Sphinx
Corpse Dance
Crumbling Necropolis
Cursed Mirror
Cyclonic Rift
Darkslick Shores
Demonic Tutor
Dimir Aqueduct
Dragonskull Summit
Entomb
Etali, Primal Storm
Exotic Orchard
Faerie Mastermind
Feldon of the Third Path
Fellwar Stone
Final Fortune
Flameshadow Conjuring
Frantic Search
Goryo's Vengeance
Grim Tutor
Hate Mirage
Hellkite Courser
Homeward Path
Ideas Unbound
Ilharg, the Raze-Boar
Island
It That Betrays
Izzet Boilerworks
Jeska's Will
Jin-Gitaxias, Core Augur
Jin-Gitaxias, Progress Tyrant
Kiki-Jiki, Mirror Breaker
Last Chance
Ledger Shredder
Lightning Greaves
Likeness Looter
Lotus Field
Massacre Wurm
Mimic Vat
Mountain
Mystic Remora
Mystical Tutor
Nightscape Familiar
Notion Thief
Obeka, Brute Chronologist
Otawara, Soaring City
Persist
Phyrexian Arena
Polluted Delta
Psychic Vortex
Puppeteer Clique
Reanimate
Red Sun's Twilight
Rhystic Study
Rune-Scarred Demon
Saheeli, the Sun's Brilliance
Saw in Half
Scalding Tarn
Scourge of the Throne
Sheoldred, Whispering One
Shivan Reef
Smoldering Marsh
Sneak Attack
Sol Ring
Solemn Simulacrum
Steam Vents
Sulfur Falls
Sulfurous Springs
Sundial of the Infinite
Sunken Hollow
Swamp
Talisman of Creativity
Talisman of Dominance
Terror of the Peaks
Toxic Deluge
Underground River
Watery Grave
Whip of Erebos
Windfall
Xander's Lounge
