Agitator Ant
Arcane Signet
Baeloth Barrityl, Entertainer
Barbed Servitor
Basalt Monolith
Bedevil
Bedlam
Black Market Connections
Blackcleave Cliffs
Blasphemous Act
Blazemire Verge
Blessing of Leeches
Blightstep Pathway // Searstep Pathway
Blood Crypt
Bloodstained Mire
Bloodthirsty Blade
Bojuka Bog
Bothersome Quasit
Bottomless Pit
Braid of Fire
Brash Taunter
Canyon Slough
Captive Audience
Command Tower
Crawlspace
Cursed Mirror
Demonic Embrace
Demonic Tutor
Descent into Avernus
Disrupt Decorum
Dragonskull Summit
Exotic Orchard
Exsanguinate
Fabled Passage
Feign Death
Ghoulish Impetus
Giggling Skitterspike
Glacial Chasm
Graven Cairns
Harsh Mentor
Haunted Ridge
Heartstone
High Market
Hot Pursuit
Hunted Horror
Ill-Gotten Gains
Incriminating Impetus
Karazikar, the Eye Tyrant
Kardur, Doomscourge
Kazuul, Tyrant of the Cliffs
Kroxa, Titan of Death's Hunger
Laser Screwdriver
Luxury Suite
Malakir Rebirth // Malakir Mire
Mana Flare
Master of Cruelties
Maze of Ith
Minas Morgul, Dark Fortress
Necrogen Mists
Nettling Nuisance
No Mercy
Opal Palace
Ophiomancer
Oppression
Painful Quandary
Rakdos Charm
Raucous Theater
Reanimate
Repercussion
Rings of Brighthearth
Rogue's Passage
Shadowblood Ridge
Shinka, the Bloodsoaked Keep
Shizo, Death's Storehouse
Sire of Insanity
Smoldering Marsh
Snow-Covered Mountain
Snow-Covered Swamp
Sokenzan, Crucible of Defiance
Sol Ring
Solemn Simulacrum
Spectacular Showdown
Sulfurous Springs
Swamp
Syphon Mind
Takenuma, Abandoned Mire
Talisman of Indulgence
Terminate
The Sound of Drums
Thran Dynamo
Toxic Deluge
Treasure Nabber
Undying Malice
Valakut Awakening // Valakut Stoneforge
Vandalblast
War's Toll
Words of Waste
Xantcha, Sleeper Agent
