"Name","Edition","Quantity"
"Aesi, Tyrant of Gyre Strait","CMR","1"
"Acidic Slime","CMR","1"
"Arcane Denial","CMR","1"
"Avenger of Zendikar","CMR","1"
"Beast Within","C20","1"
"Blighted Woodland","CMR","1"
"Coiling Oracle","CMR","1"
"Command Tower","CMR","2"
"Compulsive Research","CMR","1"
"Coral Atoll","CMR","1"
"Counterspell","6ED","1"
"Cultivate","PLST","1"
"Elder Deep-Fiend","CMR","1"
"Eternal Witness","CMR","1"
"Evolving Wilds","C19","1"
"Explore","CMR","1"
"Fact or Fiction","C19","1"
"Fathom Mage","CMR","1"
"Forest","IKO","15"
"Growth Spiral","RNA","1"
"Harmonize","C19","1"
"Into the Roil","ZNR","1"
"Ior Ruin Expedition","CMR","1"
"Island","IKO","15"
"Jungle Basin","CMR","1"
"Khalni Heart Expedition","CMR","1"
"Kodama's Reach","C20","1"
"Meloku the Clouded Mirror","CMR","1"
"Memorial to Genius","CMR","1"
"Meteor Golem","CMR","1"
"Molimo, Maro-Sorcerer","CMR","1"
"Mulldrifter","C20","1"
"Murkfiend Liege","CMR","1"
"Nezahal, Primal Tide","CMR","1"
"Peel from Reality","RAV","1"
"Rampaging Baloths","ZNC","1"
"Rampant Growth","TMP","1"
"Ramunap Excavator","CMR","1"
"Reclamation Sage","CMR","1"
"Reliquary Tower","PLG20","1"
"Retreat to Kazandu","CMR","1"
"Scourge of Fleets","ZNC","2"
"Search for Tomorrow","CMR","1"
"Seer's Sundial","ZNC","1"
"Sharktocrab","RNA","1"
"Shipbreaker Kraken","CMR","1"
"Simic Charm","CMR","1"
"Simic Growth Chamber","C19","1"
"Simic Guildgate","RNA","1"
"Simic Signet","DIS","1"
"Simic Sky Swallower","IMA","1"
"Slinn Voda, the Rising Deep","CMR","1"
"Sol Ring","LEA","1"
"Sphinx of Uthuun","C14","1"
"Spitting Image","CMR","1"
"Sporemound","CMR","1"
"Stormtide Leviathan","CMR","1"
"Stumpsquall Hydra","CMR","1"
"Swiftfoot Boots","CMR","1"
"Terastodon","2XM","1"
"Terramorphic Expanse","CMR","1"
"Thornwood Falls","M21","1"
"Trench Behemoth","CMR","1"
"Tromokratis","CMR","1"
"Urban Evolution","UMA","1"
